altimeter_type,file_cycle,year_fraction,observations,weighted_observations,GMSL,GMSL_sd,GMSL_smoothed,GMSL_GIA_applied,GMSL_GIA_applied_sd,GMSL_GIA_smoothed,GMSL_GIA_smoothed_removed,GMSL_smoothed_removed
0,11,1993.011526,466881,338409.69,-34.17,89.01,-33.93,-34.17,89.01,-33.92,-33.94,-33.96
0,12,1993.038692,459563,333609.59,-37.18,89.94,-35.33,-37.17,89.94,-35.32,-34.83,-34.85
0,13,1993.065858,402996,292736.5,-37.34,86.89,-35.37,-37.32,86.89,-35.36,-34.46,-34.48
0,14,1993.093025,462894,336670.31,-39.64,88.73,-35.67,-39.62,88.73,-35.64,-34.41,-34.45
0,15,1993.120191,460498,332486.09,-34.93,89.87,-34.78,-34.9,89.87,-34.75,-33.24,-33.28
0,16,1993.147357,415229,300489.59,-32.01,89.54,-33.64,-31.97,89.53,-33.61,-31.85,-31.89
0,17,1993.174523,470589,340263.09,-30.44,87.57,-32.69,-30.39,87.57,-32.65,-30.64,-30.68
0,18,1993.201689,469308,339210.91,-31.09,88.49,-32.16,-31.04,88.49,-32.11,-29.81,-29.87
0,19,1993.228855,464654,335581.31,-32.2,87.78,-32.04,-32.15,87.78,-31.98,-29.36,-29.42
999,20,1993.256021,450755,327812.59,-34.21,95.18,-32.15,-34.15,95.17,-32.09,-29.12,-29.17
0,21,1993.283188,467063,337674.69,-34.46,87.21,-32.31,-34.39,87.21,-32.24,-28.89,-28.96
0,22,1993.310354,472296,341115.69,-30.1,86.36,-32.51,-30.02,86.34,-32.43,-28.71,-28.79
0,23,1993.33752,469214,340208.41,-31.32,85.74,-32.78,-31.24,85.73,-32.7,-28.66,-28.73
0,24,1993.364686,471422,340657.41,-34.27,85.91,-32.87,-34.18,85.9,-32.78,-28.5,-28.59
0,25,1993.391852,472425,340987.31,-35.1,84.85,-33.04,-35.01,84.85,-32.94,-28.57,-28.66
0,26,1993.419018,472277,341267.19,-34.61,84.77,-32.36,-34.51,84.77,-32.26,-27.97,-28.07
